Number,FileName,Segment,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,spectral_centroid
1,Breathe,0,-558.5182495117188,85.5162582397461,-10.003334045410156,30.53692054748535,2.908411979675293,7.5595808029174805,0.2846982181072235,-2.5835468769073486,17.377431869506836,3.89726185798645,7.461369514465332,0.06402352452278137,-6.1522746086120605,130.26632690429688,46.253822326660156,26.97654151916504,20.66941261291504,13.650568962097168,8.214269638061523,6.0468831062316895,6.771204471588135,21.374723434448242,9.374500274658203,9.121583938598633,3.5285232067108154,6.38883638381958,0.5238329172134399,0.48365849256515503,0.49312204122543335,0.5736355185508728,0.643260657787323,0.6387748122215271,0.6420323848724365,0.574778139591217,0.5536041855812073,0.6200447678565979,0.58234041929245,0.53128981590271,0.10884164663461539,0.002031679730862379,2174.5150227241547
2,Breathe,1,-401.80169677734375,68.67282104492188,-19.732131958007812,35.199195861816406,3.9119820594787598,3.831096887588501,2.632568597793579,-10.499358177185059,7.019322395324707,1.5167940855026245,-5.9411797523498535,-1.2760045528411865,-10.646387100219727,136.98941040039062,36.48541259765625,17.333894729614258,13.339404106140137,6.49239444732666,7.25572395324707,9.019411087036133,7.808250904083252,13.635132789611816,11.897443771362305,7.6381378173828125,9.81957721710205,5.687549591064453,0.6030112504959106,0.5925910472869873,0.6041389107704163,0.6430206298828125,0.5722553730010986,0.5193176865577698,0.5021581053733826,0.5644145607948303,0.6001355648040771,0.6619463562965393,0.6536356210708618,0.5662921667098999,0.190625,0.006921373773366213,2924.8856523816235
3,Button,0,-671.6453247070312,85.18843841552734,8.495654106140137,26.59320640563965,14.103928565979004,16.634521484375,3.6011133193969727,5.690341949462891,9.319640159606934,5.773672103881836,3.5801990032196045,3.0208308696746826,5.393886566162109,141.2003173828125,42.328392028808594,27.539716720581055,15.420161247253418,8.458078384399414,9.671680450439453,6.5851874351501465,5.7742767333984375,7.176258563995361,6.067493438720703,5.195351600646973,5.80661678314209,4.509855270385742,0.5315377116203308,0.5029524564743042,0.5238445997238159,0.534162163734436,0.58486407995224,0.6591246128082275,0.6656671166419983,0.6830273866653442,0.7015078663825989,0.7222368717193604,0.6761812567710876,0.5957887172698975,0.06983924278846154,0.0006507107173092663,2001.9989517183044
4,Cat,0,-476.64080810546875,100.81990051269531,-49.79890441894531,32.083744049072266,2.2761106491088867,-9.038996696472168,19.852054595947266,-2.3193161487579346,6.664783954620361,2.82106876373291,-1.645918846130371,-7.505013942718506,-0.7955383658409119,158.247314453125,42.750572204589844,71.22773742675781,27.001094818115234,21.743656158447266,30.86711311340332,14.553940773010254,10.96302604675293,7.152988910675049,5.509794235229492,7.797996520996094,8.549105644226074,6.710092544555664,0.21656639873981476,0.21298518776893616,0.20205317437648773,0.21126054227352142,0.2131694257259369,0.2541263997554779,0.2512281537055969,0.33119186758995056,0.42308309674263,0.5461891889572144,0.6396515965461731,0.40192705392837524,0.08182842548076923,0.02637624181807041,1674.0215678800005
5,Cat,1,-575.453857421875,103.29398345947266,14.827719688415527,11.41308879852295,22.481277465820312,20.59710693359375,13.847783088684082,6.88813591003418,8.884011268615723,5.629086971282959,-0.3077402114868164,-1.563623309135437,-0.7205537557601929,99.95275115966797,40.43128967285156,47.17265319824219,29.692243576049805,14.77822494506836,10.265152931213379,10.314862251281738,13.576204299926758,6.7080559730529785,10.8903226852417,9.14509105682373,7.404417514801025,6.004100322723389,0.40892723202705383,0.44970983266830444,0.3993750214576721,0.36347803473472595,0.37592819333076477,0.38683781027793884,0.4492385983467102,0.5267271995544434,0.6770074367523193,0.7845199704170227,0.6844279766082764,0.5444905161857605,0.035006009615384616,0.008845564909279346,1031.6269092130976
6,Cat,2,-426.9849548339844,141.5609893798828,-87.2206039428711,10.024885177612305,30.795358657836914,-6.105584621429443,6.460556983947754,5.015326976776123,10.170853614807129,3.809516668319702,-6.018048286437988,-10.151225090026855,-3.30778169631958,139.20867919921875,42.23622131347656,81.86695098876953,38.217041015625,17.43013572692871,25.637367248535156,11.393028259277344,15.479402542114258,6.155972480773926,7.384889125823975,12.426473617553711,16.241628646850586,15.0455904006958,0.44608303904533386,0.3480346202850342,0.26531729102134705,0.3344058394432068,0.32647034525871277,0.2781950831413269,0.3041543662548065,0.35615840554237366,0.4423269033432007,0.5994915962219238,0.4605005383491516,0.5061918497085571,0.09677734375,0.03464576229453087,1493.1322429183413
7,Cat,3,-416.0106201171875,147.16111755371094,-74.69525146484375,-0.3845343589782715,33.14902114868164,-9.242202758789062,1.7836788892745972,7.651844501495361,3.4193716049194336,7.331286430358887,-0.9947136640548706,-13.374382019042969,1.4176968336105347,137.11865234375,45.32883071899414,87.2255630493164,24.207448959350586,22.890012741088867,24.2541446685791,18.536392211914062,11.191217422485352,10.518644332885742,8.23291301727295,7.162100315093994,12.662186622619629,9.835190773010254,0.5622730255126953,0.4078969955444336,0.28007790446281433,0.22035197913646698,0.20990702509880066,0.24704857170581818,0.31249386072158813,0.28767669200897217,0.380801260471344,0.5047052502632141,0.5421853065490723,0.6206605434417725,0.09161658653846154,0.034454334527254105,1356.0761611468618
8,Dog bark,0,-423.0922546386719,125.23197174072266,2.6483447551727295,-22.811933517456055,-13.866189002990723,6.975284099578857,11.16608715057373,5.6931304931640625,-5.812472820281982,-3.1445066928863525,-6.903838634490967,12.783581733703613,5.076995372772217,161.00567626953125,78.73944091796875,35.13151550292969,32.327789306640625,28.64346694946289,19.17095184326172,15.507233619689941,8.83870792388916,12.886982917785645,7.693872928619385,14.464822769165039,13.21898078918457,14.493305206298828,0.5627602338790894,0.6937052607536316,0.5638617277145386,0.4272037744522095,0.3886045515537262,0.3405943214893341,0.32092076539993286,0.2950347065925598,0.3200465440750122,0.3794284164905548,0.40730029344558716,0.4823926091194153,0.04877554086538462,0.055149760097265244,923.5595701480491
9,Dog bark,1,-412.7615661621094,109.26287841796875,-0.5157440900802612,-25.53955841064453,-11.476805686950684,6.224303722381592,5.906476974487305,6.372832775115967,-0.10506468266248703,-0.01227568183094263,0.9608747959136963,12.872252464294434,1.2094730138778687,139.06507873535156,62.94471740722656,32.18391036987305,30.72278594970703,24.939823150634766,19.314342498779297,17.17939567565918,8.76988697052002,11.478544235229492,12.027057647705078,12.341670036315918,13.534857749938965,14.618896484375,0.47979116439819336,0.4485832750797272,0.4358910024166107,0.2970266342163086,0.3718652129173279,0.46074649691581726,0.29987460374832153,0.24080359935760498,0.2728091776371002,0.3262612223625183,0.34817081689834595,0.4705647826194763,0.05372596153846154,0.04250609502196312,1105.1659184926161
10,Engine,0,-620.2608032226562,113.20323181152344,-4.100493431091309,-1.359788417816162,-1.1999244689941406,16.97625160217285,-0.372147798538208,-6.391845226287842,0.3298017680644989,6.0232086181640625,4.748220443725586,3.4286375045776367,-1.48371160030365,142.95175170898438,59.391387939453125,22.363021850585938,28.963485717773438,11.61292552947998,16.039934158325195,12.716646194458008,9.575041770935059,6.74377965927124,7.815668106079102,9.1388578414917,6.774898529052734,7.032533645629883,0.3338230550289154,0.2920016050338745,0.2099730223417282,0.2837883234024048,0.3447309732437134,0.3368321657180786,0.42654117941856384,0.344351202249527,0.28589674830436707,0.30796051025390625,0.30034980177879333,0.34932684898376465,0.08665114182692307,0.0015336278593167663,1857.5747904167215
